DT_AGG,DT_FILTER,DT_TYPE,MERCH_CLASSIFICATION1,MERCH_CLASSIFICATION2,CATEGORY_LEVEL1,CATEGORY_LEVEL2,CATEGORY_LEVEL3,MANUFACTURER_NAME,PARENT_COMPANY,CAMPAIGNS,SKUS,ZONE_ID,AD_TYPE,SOURCE,PAGE_TYPE,SLOT_NAME,BUDGET_DAILY,BUDGET_MONTHLY,BUDGET_LIFETIME,BUDGET_TOTAL_DAILY,IMPRESSIONS,CLICKS,REVENUE,QUANTITY,LTV_QUANTITY,DIRECT_SALES,LTV_SALES,QUANTITY_24H,DIRECT_24H,LTV_QUANTITY_24H,LTV_SALES_24H,REQUESTS,REQUEST_FILLED,REQUESTED_ADS,SELECTED_ADS,BUDGET_GOAL,TARGET_GOAL,API_PARTNER
2026-01-11,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227462,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",14,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227774,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",10,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227694,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",30,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Paper Products","Specialty Paper",Deluxe,"Bayside Corp","Evergreen Brands",861296921,71779,"","Sponsored Brand","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Premium,"Paper Products",General,Classic,"Evergreen Brands","Oakwood Industries",763383491,1556622,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-10,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227830,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",53,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227718,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227902,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",8,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Bulk,"Writing Instruments",Highlighters,"Heavy Duty","Evergreen Brands","Evergreen Brands",861936094,1227902,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",13,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Recycled,"Writing Instruments",Envelopes,Economy,"Yellowstone Co","Yellowstone Co",861658296,3282854,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",6,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Presentation Supplies",General,Mini,"Oakwood Industries","Oakwood Industries",746316089,1088790,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",2,1,3.76,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Desk Accessories",General,Mini,"Zephyr Products","Zephyr Products",862002283,3539622,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",1,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Deluxe,"Cascade Solutions","Cascade Solutions",862085645,3590550,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Envelopes,Modern,"Denali Partners","Denali Partners",750595224,66989,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",77,2,5.59,"","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Deluxe,"Denali Partners","Denali Partners",749590330,1021878,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Bulk,"Technology Accessories",General,"Heavy Duty","Evergreen Brands","Evergreen Brands",860481499,2082230,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",26,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Technology Accessories",General,"Heavy Duty","Evergreen Brands","Evergreen Brands",860481499,2081950,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Professional,"Evergreen Brands","Evergreen Brands",843702475,147321,321457,"Sponsored Brand Video",NMA,Deals,"22135 : SPONSORED_BRAND_NMA_VIDEO_DEALS_ATF_SLOT","","","","","","","",1,2,37.49,77.95,1.00,37.49,2,78,"","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Desk Accessories",General,Mini,"Zephyr Products","Zephyr Products",862002283,3539614,315395,"Sponsored Product",SFW,PDP,"22100 : HERO_PROMO_SLOT","","","","",21,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Writing Instruments",Notebooks,Premium,"Horizon Products","Horizon Products",862007709,1257846,315395,"Sponsored Product",SFW,PDP,"22100 : HERO_PROMO_SLOT","","","","",2,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Evergreen Brands","Evergreen Brands",735585371,252922,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Yellowstone Co","Redwood Corp",861713445,202247,321455,"Sponsored Brand Video",NMA,Browse,"22125 : SPONSORED_BRAND_NMA_VIDEO_BROWSE_ATF_SLOT","","","","",5,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Professional Grade",Specialty,"Paper Products",General,Compact,"Starlight Co","Starlight Co",737551501,94014,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","","","","",1,4,47.52,168.50,1.00,47.52,4,169,"","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Bulk,"Writing Instruments","Copy Paper","Heavy Duty","Starlight Co","Starlight Co",862090441,3311678,315393,"Sponsored Brand",SFW,Search,"22080 : SPONSORED_BRAND_SEARCH_ATF_SLOT","","","","","",2,2.00,2,2,51.28,51.28,2.00,51.28,2,51,"","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Writing Instruments",Envelopes,Modern,"Oakwood Industries","Oakwood Industries",744437163,3273206,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",10,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Deluxe,"Evergreen Brands","Evergreen Brands",810401554,2054214,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",62,1,2.21,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Deluxe,"Evergreen Brands","Evergreen Brands",810401554,1718414,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",3,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Premium,"Writing Instruments",Folders,Premium,"Unity Brands","Unity Brands",730903907,2300878,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Bulk,"Paper Products",Envelopes,"Heavy Duty","Evergreen Brands","Evergreen Brands",763459188,1216230,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",34,1,0.50,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Envelopes,Modern,"Oakwood Industries","Oakwood Industries",744437163,3273246,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",7,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Writing Instruments",Envelopes,Modern,"Oakwood Industries","Oakwood Industries",744437163,3273238,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",23,1,8.32,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Writing Instruments",Envelopes,Premium,"Evergreen Brands","Evergreen Brands",750552992,155844,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",8,1,0.50,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Writing Instruments",Envelopes,Premium,"Evergreen Brands","Evergreen Brands",750552992,155926,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Recycled,"Writing Instruments",Envelopes,Premium,"Evergreen Brands","Evergreen Brands",750552992,155855,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",33,1,0.60,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Evergreen Brands","Oakwood Industries",746262419,101298,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",55,2,9.45,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Bulk,"Paper Products",Envelopes,"Heavy Duty","Evergreen Brands","Evergreen Brands",763459188,1216230,315391,"Sponsored Product",SFW,Deals,"22060 : DEALS_ATF_SLOT","","","","",9,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-10,day,Demand,"Business Essentials",Bulk,"Technology Accessories",General,"Heavy Duty","Evergreen Brands","Evergreen Brands",860481499,2081382,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",41,1,0.50,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Professional Grade",Specialty,"Paper Products",General,Compact,"Starlight Co","Starlight Co",737551501,819526,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","","","","",1,4,54.00,221.29,1.00,54.00,4,221,"","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Standard,"Paper Products",Envelopes,Compact,"Starlight Co","Starlight Co",743104113,81168,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",251,18,20.30,3,12,182.97,692.04,3.00,182.97,12,692,"","","","","","",adplatform_alpha
2026-01-10,day,Demand,"Business Essentials",Premium,"Writing Instruments",Folders,Premium,"Unity Brands","Unity Brands",730903907,1556774,315396,"Sponsored Product",NMA,PDP,"22035 : NMA_PDP_BTF_SLOT","","","","",103,1,1.61,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Deluxe,"Yellowstone Co","Redwood Corp",861632162,243251,315394,"Sponsored Brand",SFW,Browse,"22085 : SPONSORED_BRAND_BROWSE_ATF_SLOT","","","","",2,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Premium,"Writing Instruments",Folders,Compact,"Evergreen Brands","Evergreen Brands",746314061,354345,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",1,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Evergreen Brands","Oakwood Industries",746262419,101296,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",5,1,9.94,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Business Essentials",Bulk,"Technology Accessories",General,"Heavy Duty","Evergreen Brands","Evergreen Brands",860481499,2081486,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Evergreen Brands","Oakwood Industries",746262419,101298,"","Sponsored Product","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Recycled,"Writing Instruments",Envelopes,Deluxe,"Starlight Co","Starlight Co",862093308,3350302,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",608,6,3.30,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Breakroom Supplies",Coffee,Deluxe,"Yellowstone Co","Yellowstone Co",861616893,1499246,315395,"Sponsored Product",SFW,PDP,"22100 : HERO_PROMO_SLOT","","","","",3,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Bulk,"Breakroom Supplies",Coffee,Deluxe,"Yellowstone Co","Yellowstone Co",861616893,1499198,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",16,1,0.50,"","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Bulk,"Breakroom Supplies",Coffee,Deluxe,"Yellowstone Co","Yellowstone Co",861616893,1375366,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",30,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Recycled,"Writing Instruments",Folders,Premium,"Denali Partners","Denali Partners",861292034,202902,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",9,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Oakwood Industries","Oakwood Industries",861936888,49745,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",25,1,2.66,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Paper Products",General,Classic,"Evergreen Brands","Evergreen Brands",748761928,1448326,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",100,3,11.70,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Premium,"Paper Products",General,Classic,"Yellowstone Co","Yellowstone Co",861623488,75578,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",101,3,9.88,1,3,47.98,133.99,1.00,47.98,3,134,"","","","","","",
2026-01-10,day,Demand,"Business Essentials",Premium,"Paper Products",Folders,Compact,"Unity Brands","Unity Brands",788096086,941358,315393,"Sponsored Brand",SFW,Search,"22080 : SPONSORED_BRAND_SEARCH_ATF_SLOT","","","","",20,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Paper Products",General,Classic,"Oakwood Industries","Oakwood Industries",861936388,49765,315403,"Sponsored Brand",NMA,Search,"22090 : SPONSORED_BRAND_NMA_SEARCH_ATF_SLOT","","","","",28,7,7.29,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Classic,"Evergreen Brands","Evergreen Brands",840844622,937806,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",113,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Compact,"Evergreen Brands","Evergreen Brands",861299257,140962,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","","","","",1,4,15.00,50.87,1.00,15.00,4,51,"","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Notebooks,Compact,"Willow Creek Inc","Yellowstone Co",749610489,251849,315395,"Sponsored Product",SFW,PDP,"22100 : HERO_PROMO_SLOT","","","","",79,2,2.84,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",General,Classic,"Oakwood Industries","Oakwood Industries",861936888,49733,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",259,3,30.10,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Standard,"Writing Instruments",Envelopes,Classic,"Starlight Co","Starlight Co",742296449,69786,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",133,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Notebooks,Compact,"Evergreen Brands","Evergreen Brands",756364236,321767,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",92,1,1.07,"","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Business Essentials",Recycled,"Writing Instruments",Folders,Premium,"Unity Brands","Unity Brands",755383271,1130174,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",12,1,0.50,1,2,7.99,11.96,1.00,7.99,2,12,"","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Recycled,"Writing Instruments","Index Cards",Deluxe,"Quest Enterprises","Quest Enterprises",833961086,67875,315393,"Sponsored Brand",SFW,Search,"22080 : SPONSORED_BRAND_SEARCH_ATF_SLOT","","","","",44,2,2.60,1,2,21.39,32.29,1.00,21.39,2,32,"","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Paper Products",General,Classic,"Oakwood Industries","Oakwood Industries",849143634,47594,315388,"Sponsored Product",SFW,Browse,"22020 : BROWSE_ATF_SLOT","","","","",5,"","","","","","","","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Standard,"Unity Brands","Unity Brands",752018626,128497,315397,"Sponsored Product",NMA,Search,"22040 : NMA_SEARCH_ATF_SLOT","","","","",404,11,7.38,3,3,38.97,38.97,2.00,25.98,2,26,"","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Notebooks,Compact,"Willow Creek Inc","Yellowstone Co",749610489,132329,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",283,11,10.95,"","","","","","","","","","","","","","",adplatform_alpha
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Professional,"Oakwood Industries","Yellowstone Co",743197864,1462430,"","Sponsored Brand","","","","","","",0.000000,"","","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Business Essentials",Bulk,"Technology Accessories",General,Mini,"Evergreen Brands","Vanguard Corp",749633402,768054,315395,"Sponsored Product",SFW,PDP,"22100 : HERO_PROMO_SLOT","","","","",3,"","","","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Premium,"Writing Instruments",Notebooks,Compact,"Willow Creek Inc","Yellowstone Co",749610489,251821,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",1,"","","","","","","","","","","","","","","","",adplatform_alpha
2026-01-08,day,Demand,"Premium Office",Premium,"Writing Instruments","Index Cards",Classic,"Upland Goods","Upland Goods",749630755,762550,315399,"Sponsored Product",NMA,Browse,"22050 : NMA_BROWSE_ATF_SLOT","","","","",78,2,1.87,1,1,19.99,19.99,"","","","","","","","","","",""
2026-01-10,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Classic,"Evergreen Brands","Evergreen Brands",861658598,2938462,315390,"Sponsored Product",SFW,PDP,"22030 : PDP_BTF_SLOT","","","","",10,1,6.48,"","","","","","","","","","","","","","",""
2026-01-11,day,Demand,"Premium Office",Compact,"Writing Instruments",Binders,Deluxe,"Unity Brands","Unity Brands",861796709,2265366,315386,"Sponsored Product",SFW,Search,"22005 : SEARCH_ATF_SLOT","","","","",4,"","","","","","","","","","","","","","","","",""
